,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Pickup_x,Pickup_y,Dropoff_x,Dropoff_y,start_edge,end_edge,id,depart,vClass,departLane,type,departSpeed
1310,e6a89e903dff9c72e02983a360adca02066f8260,1c127bbfaaaed04128f5a96cf60d0990ffaa310ff2047f16f6aa47e9c2674ab10dc061951853905d6c4cc7ba7e89bcb27d3e85480df674fc0116f57243ea992c,10/15/2019 07:00:00 PM,10/15/2019 07:15:00 PM,754,2.08,17031280100.0,17031081201.0,28.0,8.0,9.75,0.0,0.0,0.0,9.75,Cash,Chicago Carriage Cab Corp,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),11302.723054060945,10068.785636899062,12691.026809468807,11596.955147879198,145857394#0,1040118849#0,taxi_610,2754.825235664712,,best,veh_passenger,None
1311,20bf57cd2047ae286f283064738afd1dcf879028,06388756dbbbd254abc345d0aedd83fc80d5e1c396c7b523efa93da16902e1f72dface74f20ff989ec85dacd58b77a9b8497a692fca727afbe5bf1c995e0d017,10/15/2019 08:00:00 PM,10/15/2019 08:15:00 PM,840,0.1,17031839100.0,17031243000.0,32.0,24.0,11.5,2.4,0.0,0.0,13.9,Credit Card,Taxi Affiliation Services,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.892276708,-87.679397479,POINT (-87.6793974791 41.8922767078),12134.00798140082,9584.547444195487,8273.183073352498,10866.776493646204,134319745#0,1092944489#6,taxi_611,2761.051320062369,,best,veh_passenger,None
1312,2b9d1cad6ae19604af85d19780724eab49bcc2ab,00f011f177d14242f8a1eb4315abe2f7b82be989761ed13493623b7b7cfc77481e3364cfab94e636db5e0dc6973323d869029bf56422ccfe08dc2c02c46da525,10/15/2019 11:15:00 PM,10/15/2019 11:30:00 PM,240,0.9,17031081500.0,17031081401.0,8.0,8.0,5.5,0.0,0.0,0.0,5.5,Cash,Taxi Affiliation Services,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),12685.276812698052,10858.865207103081,13226.876501449384,11135.36641502101,56720835#3,461207921#0,taxi_612,2763.80717433354,,best,veh_passenger,None
1313,0511f403016ba72bf1636777a51113311e6f6c92,133dcffdd5cd80bd8c2ba1ec3af9d39158e6ffe8921d7b4db8d3ed9479d07a2f61de8acce89ebb56cb069883d9d28e82bdcf5178a678e0b88b3b4e0aafcb60a4,10/16/2019 10:00:00 AM,10/16/2019 10:00:00 AM,600,0.0,17031081201.0,17031320100.0,8.0,32.0,8.25,0.0,0.0,0.0,8.25,Cash,Taxi Affiliation Services,41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),12691.026809468807,11596.955147879198,13112.436993356852,10020.725180737674,1040118849#0,583081972,taxi_613,2769.041174601531,,best,veh_passenger,None
1314,f81d4d9432ce7a057f1443acc278527d7902f7db,f9dfe19ff656e73355417487428709a9849e91accd2b240d8e6b3a9b21054f12cdcfe7df456ff6ccd12347f813268f30cabd4be9faa923c7a0df39fd0f8d11c8,10/16/2019 11:00:00 AM,10/16/2019 11:00:00 AM,303,0.33,17031320100.0,17031081403.0,32.0,8.0,4.5,0.0,0.0,0.0,4.5,Cash,Flash Cab,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),13112.436993356852,10020.725180737674,13293.45768353925,10678.380976659246,583081972,220306134#2,taxi_614,2773.300519000367,,best,veh_passenger,None
1315,adc2d6b7407dc677604105be359103d7ed7526f9,2568c6e490992798e9b945d3655d7f4fd56f218f3c54246f8e00de83538a886c655137f923933a2ab0222099c10532ed5821bf1e5546e750cc64e17fb394eb2b,10/16/2019 12:30:00 PM,10/16/2019 12:45:00 PM,1155,2.63,17031281900.0,17031080201.0,28.0,8.0,12.25,3.19,0.0,0.0,15.94,Credit Card,Chicago Carriage Cab Corp,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.909495669,-87.630963601,POINT (-87.630963601 41.9094956686),11310.927751319367,9397.533141246997,12305.209617161308,12747.876887032762,116846056#0,-24096963#2,taxi_615,2778.0788163806787,,best,veh_passenger,None
1317,0d7e7a898743389447c2fa967f4a2824e1c6399c,e30325d7d21a95e76154ac70fd5f3cc84547b05fc66042dfa344f43c2f1cf486de46bdc318c9570d6a5476e3000e37acd4a390f8ba9de343608fb4298366bf2a,10/16/2019 04:00:00 PM,10/16/2019 04:15:00 PM,755,1.61,17031081201.0,17031839100.0,8.0,32.0,9.0,0.0,0.0,0.0,9.0,Cash,Chicago Carriage Cab Corp,41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),12691.026809468807,11596.955147879198,12134.00798140082,9584.547444195487,1040118849#0,134319745#0,taxi_616,2781.9083506950255,,best,veh_passenger,None
1318,b7f81a900d05ee8c5f0e0f63c6f43f1422a133ef,847cf962bd6f62040673e6c24c24940aeb2d7fdaa54677eed6a0aaa4aeef61984916b32d763b4baa6c32476531543bb77e2346cd64f505618f6b9d562243f950,10/16/2019 05:45:00 PM,10/16/2019 06:00:00 PM,660,0.7,17031081402.0,17031081403.0,8.0,8.0,7.25,2.0,0.0,0.0,9.25,Credit Card,Taxi Affiliation Services,41.891971508,-87.612945414,POINT (-87.6129454143 41.8919715078),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),13785.653896661825,10791.375302791595,13293.45768353925,10678.380976659246,435657389,220306134#2,taxi_617,2788.621769625448,,best,veh_passenger,None
1319,512f2c3c46931e72958655f3a07b3be56ccca4f1,ac408ef5eb09f7c4b80aeaefb9cd324da8fb05ca08749cb23ed55015ef6a6f46f51a5b980067998be802e3bbe7cec33365daa7a93f0afa43558877699b296c2b,10/16/2019 06:15:00 PM,10/16/2019 06:30:00 PM,360,1.1,17031081500.0,17031320100.0,8.0,32.0,6.25,0.0,0.0,0.0,6.25,Cash,Star North Management LLC,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),12685.276812698052,10858.865207103081,13112.436993356852,10020.725180737674,56720835#3,633946076,taxi_618,2791.5988913002116,,best,veh_passenger,None
1321,334dca55404719faba61f0a68852b3778d39e828,d41e198fbed96bdbe8649a6c626cfeb16e5f82ca39a0c72bde5344a5166779475e0035d83523884b2e5d36ec55f91f94101f6e7c35bb3d056464c726614f1a81,10/17/2019 08:15:00 AM,10/17/2019 08:15:00 AM,300,0.5,17031320100.0,17031081700.0,32.0,8.0,5.25,0.0,0.0,0.0,5.25,Cash,Medallion Leasin,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),13112.436993356852,10020.725180737674,12216.266053279163,10810.601439353079,583081972,965387812#0,taxi_619,2797.9245857798833,,best,veh_passenger,None
1323,ec985ab1022a32cb5dc1c1ff11d89f6b3b1d2079,51d13e9ec1a04be36d87a3746e0e4f8c68ca5ed59e6f7af9b137af2d622f0d6bb6a4d3534788bd879e6841ba52d9b8efd7d1771a6a416cd441d1640987b63ec3,10/17/2019 01:30:00 PM,10/17/2019 02:00:00 PM,1294,3.3,17031081800.0,17031330100.0,8.0,33.0,13.5,2.8,0.0,0.0,16.8,Credit Card,City Service,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),11721.124692709534,10944.643321189098,13393.542399950791,7172.094790545292,23891801#0,316907585,taxi_620,2800.362833622669,,best,veh_passenger,None
1325,1007870e8516a37551d92e7b05d60e7f4b7d63e7,0423b61dd9d4f4da3f4490e3dfed085a321aa78d527286537b0c5c80ba88b03f54761985ace14a0451b92a7dba1ce3888208cba74ad0f394ed730c793c84031c,10/17/2019 07:30:00 PM,10/17/2019 07:30:00 PM,600,0.0,17031081100.0,17031839100.0,8.0,32.0,7.25,0.0,0.0,1.5,8.75,Cash,Taxi Affiliation Services,41.900221297,-87.629105186,POINT (-87.6291051864 41.9002212967),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),12451.786378970952,11717.032180976123,12134.00798140082,9584.547444195487,153561203#0,134319745#0,taxi_621,2802.6254667084772,,best,veh_passenger,None
1326,34b07a95f4fbb0d48990068ce04551cfe69107b6,2dcd35f7436841b0e5389ad00dbe5d9864cb82afb51818d96bbc48a9b7100ff6dafc50b4a7406a2053a78cff544b6a1b190350bf1dd679f9ac0a980e2f0a3d1e,10/17/2019 08:45:00 PM,10/17/2019 08:45:00 PM,360,0.0,17031320100.0,17031081402.0,32.0,8.0,7.5,1.13,0.0,0.0,8.63,Credit Card,Blue Ribbon Taxi Association Inc.,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.891971508,-87.612945414,POINT (-87.6129454143 41.8919715078),13112.436993356852,10020.725180737674,13785.653896661825,10791.375302791595,583081972,-435657388,taxi_622,2803.711369671248,,best,veh_passenger,None
1327,974ec92c271c29cbb6ae56755f5647186f8bae0c,291fa4b1abcca8c92f63b7fce03ae5615befaa4f60c3ce7964d1c6a289bdd3dce2fc02c231c245dbb07f61532dd9e01ede0cb1faef9c0dca6552a796ce96dc82,10/18/2019 04:00:00 PM,10/18/2019 04:15:00 PM,900,0.0,17031281900.0,17031081402.0,28.0,8.0,10.25,2.1,0.0,0.0,12.35,Credit Card,Taxi Affiliation Services,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.891971508,-87.612945414,POINT (-87.6129454143 41.8919715078),11310.927751319367,9397.533141246997,13785.653896661825,10791.375302791595,1031291396#1,-435657388,taxi_623,2805.4446283123116,,best,veh_passenger,None
1329,de3dc23c9349798e5469be93de099ef8bd228c74,e721bbad6011a0096c3d8b0b6ad61b4762e4ac3707938464452fc77cb22e28569b21054a82c6f080b4144a42b643bc644d5bd9fa25cbb61e1077371a0d2522b1,10/18/2019 11:00:00 PM,10/18/2019 11:00:00 PM,508,1.4,17031081403.0,17031081800.0,8.0,8.0,7.5,0.0,0.0,0.0,7.5,Cash,City Service,41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),13293.45768353925,10678.380976659246,11721.124692709534,10944.643321189098,220306134#2,23891801#0,taxi_624,2806.520620983607,,best,veh_passenger,None
1330,e3c8089c5e0c52490dda4a12634c000aa9f28405,b2f2ae87db93e39d4aba0ed936feebafb651167351670cb5e27a5de6f17fc8dea9d7414343ceded8b24f46af22424ab7f1e47e9fa8f0cef29b5e38d75c10ae12,10/19/2019 02:45:00 AM,10/19/2019 03:00:00 AM,480,0.0,17031081700.0,17031833000.0,8.0,28.0,8.25,0.0,0.0,0.0,8.25,Cash,Taxi Affiliation Services,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),12216.266053279163,10810.601439353079,10105.933551041875,10075.774430510588,965387812#0,-283273061#9,taxi_625,2811.343396672061,,best,veh_passenger,None
1331,853bdbd847e62bff8f0eaecc4a1c7e3fc9688f82,8abc7af60f163d05f5202eacbab892f7b2c5d2d4b3ebba08f8dad4f6b34c3f166de2865b20c7305f46ca5035e69f60f164afe6461e6048a4e90f5b2e3d9fad7f,10/19/2019 07:15:00 PM,10/19/2019 07:30:00 PM,583,3.03,17031320100.0,17031071500.0,32.0,7.0,10.75,4.0,0.0,1.0,16.25,Credit Card,Nova Taxi Affiliation Llc,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.914616286,-87.631717366,POINT (-87.6317173661 41.9146162864),13112.436993356852,10020.725180737674,12246.883171623864,13316.868306353688,583081972,294395159#0,taxi_626,2818.203103157418,,best,veh_passenger,None
1332,e3fcea42db952b3c0b1cc405b443ffd4eace46d7,1e2c434a11345e27099b8d295c9c8dc046e58940cfd8facba55096bcaef5cce0f63fb6730a4fa0caf36566ad56c0c5f27d62e7e31dcc614d7bc07dc9a1180e8c,10/19/2019 10:30:00 PM,10/19/2019 10:30:00 PM,367,1.09,17031081403.0,17031081202.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0,Cash,Flash Cab,41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),41.902788048,-87.62614559,POINT (-87.6261455896 41.9027880476),13293.45768353925,10678.380976659246,12699.357244118815,12000.216594858095,220306134#2,-834947074#3,taxi_627,2819.869451739357,,best,veh_passenger,None
1333,e032838c1fe74e29dc8cb12c9c60cda34c145850,e1b3ecea44f9558d957d370ef239868c23125e1c6b28852ace24cd5fabe33130cdd81ca4969053cb18b650e2be25e03786c7e42e5ee868800ef8228005da4841,10/20/2019 12:00:00 AM,10/20/2019 12:15:00 AM,360,0.0,17031320100.0,17031081700.0,32.0,8.0,6.25,0.0,0.0,1.0,7.25,Cash,Taxi Affiliation Services,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),13112.436993356852,10020.725180737674,12216.266053279163,10810.601439353079,583081972,965387812#0,taxi_628,2821.8169134982645,,best,veh_passenger,None
1334,9ac362db106548a82dc62b8e6eb1b19680b0c81c,3fcd4c899db0f7f4d7dbd3b4b6370dcaa4b888f57db00f2cf12519d59fcf28c8dae0cc06125d0e980c00f941941b8fcdec4356761ce68ef4be80954f644d4ef1,10/20/2019 12:30:00 AM,10/20/2019 12:30:00 AM,637,2.15,17031080300.0,17031842300.0,8.0,24.0,9.0,0.0,0.0,0.0,9.0,Cash,Flash Cab,41.90749193,-87.63576009,POINT (-87.6357600901 41.9074919303),41.89830587,-87.653613982,POINT (-87.6536139825 41.8983058696),11905.761833240103,12528.343465114012,10417.224136007135,11519.56492003519,165439078#5,35767298,taxi_629,2826.174700783179,,best,veh_passenger,None
1335,02baf4d3eb2c3718e15a61368c5c517897bdd7a5,65d584dc8663bc6f5c9196d6af7b155e6af31a56c81c5a12b5fc146c6e342d94b6675e0570cd570b0c82121e68d134cdf06152c5aab65ff0cce319ddd369eb47,10/20/2019 01:45:00 AM,10/20/2019 01:45:00 AM,216,0.62,17031081700.0,17031081403.0,8.0,8.0,5.0,0.0,0.0,0.0,5.0,Cash,Nova Taxi Affiliation Llc,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),12216.266053279163,10810.601439353079,13293.45768353925,10678.380976659246,965387812#0,220306134#2,taxi_630,2832.6959657930165,,best,veh_passenger,None
1341,41d2e550dcfbeb8cba139ff77c77785d36515b6f,0272960b5c32031ac07f3c6c8cb528d5de5b251934e59cf8860f66f590805f03da1732c66350dd017c49152d5efe2acd28f0789718ed853ee01b80d21bc50d9f,10/21/2019 09:45:00 AM,10/21/2019 10:00:00 AM,720,1.4,17031080202.0,17031081700.0,8.0,8.0,8.25,0.0,0.0,0.0,8.25,Cash,Taxi Affiliation Services,41.905857769,-87.630865027,POINT (-87.6308650266 41.9058577688),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),12310.41427818028,12343.908715041354,12216.266053279163,10810.601439353079,24106450#6,965387812#0,taxi_631,2841.485428998964,,best,veh_passenger,None
1342,77df89d244435414134ba19d30be354b30f68c2a,4a92e87b38b564399ef6173eb3065d7d8af1d38cb3f8668897df603d7e5a51bf9dc2a83507c07ee6abd59f6243c2d288d0ce2cc21a226be11713b0cc83768d6a,10/21/2019 11:30:00 AM,10/21/2019 11:30:00 AM,300,0.6,17031280100.0,17031839100.0,28.0,32.0,5.25,0.0,0.0,0.0,5.25,Cash,Taxi Affiliation Services,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),11302.723054060945,10068.785636899062,12134.00798140082,9584.547444195487,145857394#0,134319745#0,taxi_632,2846.207160820941,,best,veh_passenger,None
1346,3fab3d27a57a57a1db25f0132caecf8f8e2dcd3b,8f2261a1173054365b6a9c751af24187ae1f93b70b7e612116df640fac109282a11c17d91e7fac9699c9f1f4f73fb811cbdf57a04cdaef6a4a0e500d910c3fe4,10/22/2019 08:30:00 AM,10/22/2019 08:45:00 AM,780,1.6,17031280100.0,17031081403.0,28.0,8.0,9.0,2.0,0.0,0.0,11.0,Credit Card,Choice Taxi Association,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),11302.723054060945,10068.785636899062,13293.45768353925,10678.380976659246,145857394#0,220306134#2,taxi_633,2848.7541491504157,,best,veh_passenger,None
1347,e07a4ff43e0d8d751c34485fed83487152dd39d6,688e888ea848424f3933c762d75cfbce1d66de26c40279e26453003c70611de6398183ed351bba20f2da03d0143e0edf7d6fda0ca4bcc5c5f12c5f0e992acdb5,10/22/2019 08:30:00 AM,10/22/2019 08:45:00 AM,540,0.0,17031080100.0,17031320100.0,8.0,32.0,8.0,0.0,0.0,0.0,8.0,Cash,Taxi Affiliation Services,41.907520075,-87.6266589,POINT (-87.6266589003 41.9075200747),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),12660.619306057866,12525.91376172565,13112.436993356852,10020.725180737674,24098485#0,583081972,taxi_634,2849.658884123233,,best,veh_passenger,None
1348,afdd1f587d44a7cfaa2acdedb18a40325d5ffb88,efd204f38a83a59df5bf4a1fe004aa291183e235ee40ee2441d1828c11941391796b4239239b782ef2660a8de20143f7cf38eb80951de9cdb16e53143adf61d4,10/22/2019 10:30:00 AM,10/22/2019 10:45:00 AM,660,1.7,17031281900.0,17031320100.0,28.0,32.0,7.75,1.0,0.0,0.0,8.75,Credit Card,Star North Management LLC,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),11310.927751319367,9397.533141246997,13112.436993356852,10020.725180737674,1031291396#1,633946076,taxi_635,2851.4059423260524,,best,veh_passenger,None
1350,be83ee53582c0f06564584f4b97fff662715d3b8,a4b608e480d78cdf6a1bf59575fd3290f346d0f06d0663d0be50755d10e6a9c2fdbbcaf63f76e9663c9186cb878ed64c45463de47c25c4a42ba6efc71ab9c8b6,10/22/2019 05:00:00 PM,10/22/2019 05:15:00 PM,660,0.1,17031839100.0,17031081000.0,32.0,8.0,8.75,2.0,0.0,0.0,10.75,Credit Card,Taxi Affiliation Services,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.900265687,-87.63210922,POINT (-87.6321092196 41.9002656868),12134.00798140082,9584.547444195487,12202.645804296539,11723.792301077396,134319745#0,253710123#12,taxi_636,2853.4532907973953,,best,veh_passenger,None
1353,1bb6eb1715d7168cd547568b7d757dcca8326864,b41e8c8124d8d600a4db8b7c176c2956756d378c749cb11c0a8e2c326a4c1cd83cac353869b657c398c9abc2c9d1d4c760905cfd5189595282dbfbe2fb0ce482,10/23/2019 11:15:00 AM,10/23/2019 11:30:00 AM,1080,3.3,17031330100.0,17031081401.0,33.0,8.0,13.25,2.75,0.0,0.0,16.0,Credit Card,Taxi Affiliation Services,41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),13393.542399950791,7172.094790545292,13226.876501449384,11135.36641502101,1086422959,461207921#0,taxi_637,2855.068264690564,,best,veh_passenger,None
1354,c56c2ae091455835c688823cef16f8695c4c2052,e59c700426be201a910c360104a4c262c2f7367f2bff36bef52adb26a6b7249f5891c6779252c8468d2fee4c59af7b02ce88912f553b5c5db08368decfa2e67e,10/23/2019 07:45:00 PM,10/23/2019 08:00:00 PM,1138,3.71,17031081700.0,17031063400.0,8.0,6.0,13.5,4.2,0.0,0.0,18.2,Credit Card,Chicago Carriage Cab Corp,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.934659157,-87.646729729,POINT (-87.6467297286 41.9346591566),12216.266053279163,10810.601439353079,11018.709505015227,15551.4703150196,965387812#0,23989736#0,taxi_638,2855.1955999958686,,best,veh_passenger,None
1357,ceed9955f6ec9122c7d7f7b7b26506f3a3a14ef2,8678f1d459f0228fec00dedb0b54744b70b8ab713a8536b0908a47d6fed0eddf7d7a6cda106ae0ce7bff01b7cf5f4bca1d1ca1e85fec72b0f3997176a5d6ae3f,10/24/2019 03:15:00 PM,10/24/2019 03:15:00 PM,360,0.0,17031839100.0,17031320100.0,32.0,32.0,5.75,0.5,0.0,0.0,6.25,Credit Card,Taxi Affiliation Services,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),12134.00798140082,9584.547444195487,13112.436993356852,10020.725180737674,134319745#0,633946076,taxi_639,2860.0028157992774,,best,veh_passenger,None
1361,340b419bed423616e46a50633beb24b8fdb41df4,2fd056590c9a7a99233571ae9f5eea3420d83365c5ae6d4df93dc299f532a0432a23a9b8fc0c65bf5ebbffa7e333d7f670877f71fe3bc76641112d95e29ef8e0,10/25/2019 06:45:00 AM,10/25/2019 06:45:00 AM,220,0.66,17031320100.0,17031839100.0,32.0,32.0,5.0,0.0,0.0,0.0,5.0,Cash,Chicago Carriage Cab Corp,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),13112.436993356852,10020.725180737674,12134.00798140082,9584.547444195487,583081972,134319745#0,taxi_640,2862.471617740327,,best,veh_passenger,None
1364,829974bace5006df3e936309af6b35580b4c91df,f6138aa35e1fb074eb79fbe29f512b6153dca3593d8cd2405a000c6f4d5c1442f37650ea887177dbc3a5e3d91bdb43464f22a748a305285351fccc9d5dcc03ed,10/25/2019 05:00:00 PM,10/25/2019 05:00:00 PM,840,0.0,17031281900.0,17031081201.0,28.0,8.0,9.5,1.0,0.0,0.0,10.5,Credit Card,"Taxicab Insurance Agency, LLC",41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),11310.927751319367,9397.533141246997,12691.026809468807,11596.955147879198,1031291396#1,1040118849#0,taxi_641,2871.2402721202516,,best,veh_passenger,None
1368,a57b625c5f0c976d3a24143fefaaca00d8b9afaf,e88bf49a9bb5b04a354628076eed4fcffc39fc2632a5bbf08e3c849df267f45ed09a371172bf0b150e8b039b7e14b257085bd231e9ef0b26f3a1126b4ebb1307,10/26/2019 03:15:00 PM,10/26/2019 03:30:00 PM,1081,2.8,17031081201.0,17031839100.0,8.0,32.0,11.75,2.0,0.0,2.5,16.75,Credit Card,Chicago Carriage Cab Corp,41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),12691.026809468807,11596.955147879198,12134.00798140082,9584.547444195487,1040118849#0,134319745#0,taxi_642,2876.220502821439,,best,veh_passenger,None
1370,baea405650d46541b1b060d2d7cdaa19d5947668,8cb57d3804b9a645b71bef175df5e86b232aed49841f6eba9b9e2e09f731e857fee85e9c2d4383c795a51b64e2e0e48721bd79f24c42aa68fb60c7821ac8bcd1,10/26/2019 06:00:00 PM,10/26/2019 06:00:00 PM,473,0.75,17031081600.0,17031839100.0,8.0,32.0,6.25,0.0,0.0,1.0,7.25,Cash,Chicago Carriage Cab Corp,41.892072635,-87.628874157,POINT (-87.6288741572 41.8920726347),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),12464.318153216795,10812.165493657812,12134.00798140082,9584.547444195487,965387812#7,134319745#0,taxi_643,2882.497259357631,,best,veh_passenger,None
1373,c96a9f2ed6afd6319dbea8b71e53dc532c307964,be5db5106829df724988f3e5da5f59672e95972e57ec752c4892bb4f5f60cfc0cc91f09284f76265c4b4b1c47d63f0bf6436e4f06598013e30432cb2e1293bcd,10/26/2019 11:15:00 PM,10/26/2019 11:15:00 PM,420,0.8,17031081500.0,17031081800.0,8.0,8.0,6.25,0.0,0.0,1.5,7.75,Cash,Star North Management LLC,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),12685.276812698052,10858.865207103081,11721.124692709534,10944.643321189098,56720835#3,23891801#0,taxi_644,2883.6337747942566,,best,veh_passenger,None
1378,5aa020fa619e21f736b02f3e3f1554b98e65d919,4b78239fea5efde6a8497bf8721c5c7e90fa2ebf0ec8d8c9046bdde85b11a587801487dd8f3501854d2491c79adc98481412ee648268c19736421530e364d656,10/27/2019 05:15:00 PM,10/27/2019 06:00:00 PM,2400,3.0,17031841000.0,17031833100.0,33.0,28.0,25.25,0.0,0.0,0.0,25.25,Cash,Taxi Affiliation Services,41.849246754,-87.624135298,POINT (-87.6241352979 41.8492467545),41.879066994,-87.657005027,POINT (-87.657005027 41.8790669938),12822.871959066193,6054.462688289583,10119.582240774937,9385.669162653387,-488356724#4,-24094730#10,taxi_645,2891.4499255696232,,best,veh_passenger,None
1381,75fcb65da145ac4cf157eb7d94ac8dd652420ac5,fa5bad36abc84e4258e1bda4620b3a29b6b8f335f8927c17191f23249f3dd2a4bcd444415712ba7790bb1fe069e2826f694929c19ec51b24749275521b02aa18,10/28/2019 08:30:00 PM,10/28/2019 08:45:00 PM,300,0.0,17031081700.0,17031281900.0,8.0,28.0,6.5,0.0,0.0,0.0,6.5,Cash,Taxi Affiliation Services,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),12216.266053279163,10810.601439353079,11310.927751319367,9397.533141246997,965387812#0,319345470#0,taxi_646,2895.867833820337,,best,veh_passenger,None
1384,4b934300a830b25c55b6dd7fc5983f928c1d61d2,ef33e2577df8bd035aabd70fbf9549741852b60bfe55f0291e6d40d3b88cc7b6f36f4c3545dc1c7ac8484a470fd773d65d662afa809fa35ff9ddfbde42eb588d,10/29/2019 09:15:00 AM,10/29/2019 09:30:00 AM,300,0.6,17031839100.0,17031280100.0,32.0,28.0,5.25,0.0,0.0,0.0,5.25,Cash,Choice Taxi Association,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),12134.00798140082,9584.547444195487,11302.723054060945,10068.785636899062,134319745#0,145857394#0,taxi_647,2903.722311435324,,best,veh_passenger,None
1385,f193474cf7c6ed45bcef26f304fda02b02819d8a,1e4ba7f6a2c79ac2220073aa7006dd757feed6b12d4a402b0c803a964fe73104cdbebf1f9062017e384c3fce45f7b118ebe2d3a85c91f2345a9ff5f88b7921a3,10/29/2019 09:30:00 AM,10/29/2019 10:00:00 AM,1685,4.18,17031081300.0,17031330100.0,8.0,33.0,17.25,0.0,0.0,1.0,18.25,Cash,Sun Taxi,41.898331794,-87.620762865,POINT (-87.6207628651 41.8983317935),41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),13142.24239234865,11502.204498006962,13393.542399950791,7172.094790545292,-316912742,316907585,taxi_648,2908.8888894119614,,best,veh_passenger,None
